hs_class,text
positive,Ini sih kerjaannya delay mulu! Setan!'
negative,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget
positive,PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.
positive,Itu adalah sudah nenek-nenek saya heran sama cebong biasanya bohong terus'
positive,"Islam Nusantara produk JIL, dipasarkan dengan gencar oleh antek JIL. nSementara JIL anti Arab, tapi pro Aseng! nKata (alm) KH. Hasyim Muzadi,"
negative,Dari habis sahur sampai jam 10. Sibayik sudah nete 4 Skg rasanya lemas tak terkira '
negative,Gak kak emak adalah tidak suka sama yang sipit wkwk'
negative,"Kelakuan homo jaman now, ngentot saja sambil live di Blued #gayvid #gvid #lokalhangat URL"
negative,"Ga kak, gue bukan orang jawa maaf ya ( gue orang palembang soalnya, kakak saja deh yang belajar aksara jawa. Atau kelak mau belajar budaya palembang?"
positive,Pegawai Guardian training lagi kayak Mentang2 gue kayak gembel cuma kaos sama Flat shoes be anya dijutekin bangsat memang malas belinya juga kabur gue ke matahari'
negative,Para Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!! (sanji) ##HBD17thPelautJKT48'
negative,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri 
negative,Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW
negative,Edan memang tujuannya fabiano!!'
positive,GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw'
negative,"Sangat terlihat beda sekali Kewibawaannya , yang sangat berwibawa cuma gubernur Indonesia Massya Allah..."
positive,Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya menyerang karakter. Shame on kamu empok silvy and agus. #DebatFinalPilkadaJKT
negative,"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan pese a Rakercabsuâ?¦"
negative,"Apa iya Islam itu tidak boleh dilokalisasi? Lha Kristen saja mas ada Nusantaranya mas, lihat saja di Gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'"
negative,"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat"
negative,positif kok. nse-positif respon masyarakat terhadap n- CANGKUL impor n- GARAM impor n- BERAS impor n- JAGUNG impor n- TENAGA KERJA impor n- ESEMKA impor nURL
negative,"Kata Sembahyang mengadopsi tradisi lokal pada masa pekerjaan Hindu. nIstilah sembahyang pun lahir dari tradisi ritus menyembahHyang (Yang Tunggal), sama dengan shalat menyembah All"
positive,KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA
positive,"BTP the best ,,,abaikan kaum kampret otak micin ,,,'"
positive,", sih otak tempurung adalah tidak usah di ladenin. Smkn di lawan semakin Bloon dan Dungu. Dan kalau tidak begitu dia tidak makan. Hehe'"
positive,"Awaasss... Jgn sampai beritanya sampai ke saudara gerung! Ntar susah mencari kosakatany. kalau bocor saja memicing mata, bibir monyong kesamping, suara keluar ky lagi nhn kentut.. ""politik kotor sekali zaman ini!"". Klu tahu b ini.. Plng Sambil ky nhn ngeden..""dungu!"". "
positive,pinokio umur 3 tahunan tuh. #2019GantiPresiden
negative,"Cerita silat lae semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'"
positive,benci sekali dengan Umat Islam
positive,"""Provokasi mayat, politisasi agama"" penyebab kekalahan pilihan kepala daerah DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya. FYI ahok belum pernah ikut pemilihan apapun (kec jadi wakil) dan dia bukanlah etnis mayoritas"
negative,dari pada gue nete'
positive,Lol bani lowo'
negative,"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis makhluk yang alim &amp telah beribadah beratus ratus tahun dilaknat karena hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yang tidak failosof Mari kita demo diri sendi"
negative,"A orang yang suka ke konser-konser, sedikit boros."
negative,[ SAMPAI KAPAN MAKAN RACUN ? ] _ Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦
negative,Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1
positive,"sudah biasa kali. Gue penggemar korea pop tapi kalau mengomong sama teman teman gue, idol gue banci homo'"
negative,Saya suka video URL Awal Kisah Perseteruan Haji Bolot &amp Malih Tongtong'
negative,"Budaya kafir bersungguh, kalau hal hal islam tidak diendahkan..."
negative,"lah lah la...hm hem ""Semua diam ,semua bisu"" n""Kita coba tanya sama rumput yang bergoyang"" '"
negative,"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A raf 200 dan Fushilat 36).'"
negative,Klw kamu atheis..ngapain sibuk dengan agama orang...
positive,Lengserkan Jokowi Bangsat!!
negative,Selamat hari kakak ini #2019GANTIPRESIDEN #2019PRESIDENBARU
positive,"Bajingan Homo!!! nHati2 terhadap anak anak kita terutama di kamar mandi laki2, jangan biarkan sendiri! URL"
positive,Iya cocot'
negative,karena budaya indonesia.
negative,"Yang mengajarkan solat'a saja itu orang asing dia hanya ingin memecah belah islam"""
positive,| Lo berbicara saja tidak benar bangke'
negative,Kita semua tidak pernah akan memercayai yang negara Kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara negara penjaja
positive,tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lah iya opo...
positive,Kalo seumpama orang cina di usir paksa dari indonesia bagaimana
negative,bunda ngentot yuk'
positive,cina babi... cina maling... n#UsirChina hype e transfer protocol over secure socket layer / /t.co /9y4HIWHJp2
negative,"Bung Karno anti asing dan beliau dari Jawa, coba deh adakan konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. nKalau kami keliru kami tutup akun'"
positive,PROYEK KORUPSI REZIM SBY URL
negative,"Wajar saja, lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara'"
negative,AB pribadi yang senang berkompetisi dalam hal yang baik dan positif
positive,Terus menurut kamu kitab suci agAma apa yang di bilang om #Mendadakkalap
negative,Suka menutup mata. Kaga ditutup pun sudah terlihat te utup gara gara sipit /?'
negative,"Sy sebagai muslim tidak merasa pak menistakan kitab suci Alqur'an, karena dalam Alqur'an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam, tetapi kami yaitu kata tersebut ada makna yang tersirat (fiksi) yang belum"
positive,eh kasar kamu kampang'
negative,"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK"""
positive,Ada cebong bang dia merasa paling benar'
negative,Najis banget gue mentwit apa barusan wey'
positive,Kamu transgender atau bagaimana anjing ( URL
negative,awas bintitan kamu mengintip titit kucing'
negative,"Bawel, baper, bolot, baik, bodor , enggak jelas wkwk apa ya sudah itu saja deh'"
positive,"Gue menyarankan tidak perlu banyak bacot maling ayat, langsung to the point saja kamu jadi orang... Yg tidak sepaham kamu teriaki saja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas deh ..'"
positive,Jgn salah target bukan ahok... agenda utama lengserkan Jokowi ..
positive,masa baru kena tagar saja sudah kepanasan ??? Kepo banget #2019GantiPresiden
negative,"Maju kamu sini duit tapi kamu goyang kaki tak buat pape , mana lah duit nak maju kat kamu bodoh URL"
negative,"HKBP berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda,dl tidak ada yang namanya kristen protestan yang ada cuma kristen khatolik. nTerjadilah perpecahan dan berdirilah HKBP yang p sama kali di tarutung. nNah sekarang anda saya k"
negative,"Ha .. apa .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau tidak ..?"
positive,Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu
negative,dan yang takut dengan azan adalah IBLIS'
positive,Yg goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.'
positive,Wuih... cebong sewot... '
negative,2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
positive,Padahal gubernur saat ini Djarot. Mayoritas pak ai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka URL
negative,"rezim rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'"
negative,"Saat orang orang saling menuding antek aseng, asing sesungguhnya be epuk tangan.'"
negative,Nah lah katanya anti aseng'
negative,"Selamat Pak Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional."
negative,#AsyikM3nang saya sih ikut ulama saja
negative,Yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahaan. Termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu. nDan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak
positive,Anak pecun... tidak jauh jauh dari hobi zina.. haha'
negative,QUE BOM SBBSNSN'
negative,"Istirahat saja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003"
negative,"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'"
negative,"Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin."
negative,Ian pantat'
negative,"Ngakunya orang pintar dan beragama, memangnya agama mana yang memperbolehkan menista dan menghujat orang lain???. Jgnkan orang bodoh, orang yang ( maaf) sejak lahir idiot sekalipun dia, kita harus hargai sebagai sesama ciptaan Tuhan. Ingat iblis itu juga pintar dan sangat licik!!!'"
positive,Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!
positive,Si tolol sudah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL
negative,dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lohh?!! dan gue merasa jadi anak yang berengsek saja begitu ke laki laki )))'
positive,Cina perusak bangsa!! Usir !! Stuju??
positive,#2019GantiPresiden secara konstitusional hak setiap rakyat woiii!! . Gini nih kalau plonga plongo tapi kelakuan otoriter.
negative,Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai. . . coki_adem86 98heruâ?¦
negative,"Mau tanya serius ini sama presiden jokowi======= kenapa yang ada cuma islam nusantara,knp tidak ada kristen nusantara,budha,hindu bahkan kong hucu nusantara???'"
negative,KORSA Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam
negative,cowok yang jago drase ana? sini ngentot sama adik - luvian'
positive,"kroasia itu kafir tauuu,ngapain belajar sama kapir...udh lupa sama kapling sorga??'"
positive,lah bukan nya menteri suha o ada yang homo?'
negative,Gue tau lah bukan yang dulu yang masih culun dan takut semua orang pasti akan berubah perlahan lahan entah itu baik / buruk )'
negative,Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam'
positive,"Kejar setoran memang cukup bangsad, mana rupiah turun '"
positive,"Moga ini ada tindak lanjutnya! Pelaporan terhadap ?penista agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Bareskrim Mabes Polri, Gambir, Jaka a Pusat pada Selasa (10/4) pukul 13.00 WIB. #Perhaps "
positive,Bangke.. hajar!!!!'
positive,. nOnta mati kalau kebanyakan Minum'
positive,URL Ahok tng mereka terus was-was hidupnya 
positive,Itu baru di Sul Teng.. !!! Ini ekses akibat tersandera hutang cina !!! #2019GantiPresiden #2019PresidenBaru #2019TetapJokowiGanti
negative,"6. Pride (Yunani -hyper phania) keangkuhan/harga diri/kesombongan ndikenal juga dengan sebutan hubris/vanity. harga diri yang tinggi dapat mengubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri-'"
negative,"Aku be anya tujuan pada hati nLogikaku yang menjawab nTapi hati tak tenang nAku be anya pada logika nHatiku sedih nKu cari jawaban dalam wasiat yang Beliau tinggalkan. nDan aku mulai menjadi terasing dan asing di mata manusia. nTak apa duhai diri, ada"
positive,Tak hanya kurang be aji nya komisi pemberantasan korupsi era ini...tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era Pak sby....
positive,Admin tolol di pak ai tolol nPa ai Tolol untuk orang Tolol'
negative,"Ayu Ting Ting Goyang Hot Dekat Raffi Ahmad, Nagita Slavina Kampungan, Norak URL"
negative,Video tentang TKA dibuat oleh Malaysia tapi mengutip pernyataan saya di 
negative,PPP Jangan Buru-buru Tolak Wacana Pilkada LewatÂ DPRD
negative,"Random pagi pagi ada Bapak2 menyamper ke meja kerja terus be anya ""pake bedak apa sih biar mukanya bersih, istri saya butek soalnya"" nIngin ku jawab pakai air wudhu tapi ku Kristen.'"
negative,KO GUA KAMPRET'
negative,Memek lonte ingin disodok kontol gede'
positive,Jokowi saja yang mundur. tutup. URL
positive,"Ngomong apa itu.mulut kok sepe i banci...beli kaca dulu lihat dirimu,. Broo'"
positive,Ada amin rasis. nAda amat dani nAda ratna sih paiiit. nAda sih onta. nAda sih lobang anus. nJdi jangan takut oi wo.. nKehabisan obat penenang yh.'
positive,Tunggu komando IMAM BEJAT CABUL . TAIK BEER nApe2 bawa ULAMA... nDASAR Banj SEMPAK'
positive,Kabinet berantakan nPemecah belah persatuan hanya ada di rezim ini'
positive,"dih! Ngaku lebih pintar dari orang politik, NGACA DULU WOYY tampang kamu saja k k orang BEGO!!! ckakakakak'"
positive,"#PDIPerjuanganMenang Dengan menekan perusahaan tambang dengan target proyek yang impossible, lalu dilelang murah pada antek Cina. NTB contoh kasus. PDIP mau menang? Dasar bajingan'"
positive,tidak percaya sama mulut buaya mu bwang'
negative,"2019, jika SBY PRABOWO menyatu melawan MEGA JOKOWI , maka peristiwa 2004 akan terulang dimana PDIP yang Incumbent dikalahkan mutlak oleh SBY. Tp jika JKW MEGA SBY melawan PRABOWO, mk Pilpres selesai sudah. Jk 3 Poros di Pilpres, mk salah satu Lawan"
positive,Jangan kayak BANCI KALENG kamu GATOT sering buat Gaduh gentleman lah MUNDUR siap bersaing di pemilihan presiden 2019 melawan Jokowi
negative,bebal...
negative,"5. Yang terakhir karena Indonesia negara dengan populasi muslim terbesar di dunia, yang mana Islam saat ini merupakan musuh barat &amp Komunis karena dapat menghambat agenda dan kepentingan mereka.(Obviously)'"
positive,umuh &gt persib npersib kunyuk!!!! '
positive,Buat film muslim pilih ahok mati enggak di sholatin...... dijamin laris ......
negative,"tapi banu banu Yahudi itu tentu beda dengan banu banu Kristen Syriac. salah satu perbedaan ada banu Yahudi tetap pakai ""eloah/ elohim/ yahwe/"" sedangkan Syriac sudah pakai ""alah/ allah""'"
negative,Eh kenapa muka merah merah tu? Tak dapat cendol ke? Bukan lah setan cuaca sekarang nih panas.'
positive,Pemberitaan saracen diframing katak seakan tim prabowo dan anies-sandi. Seberulnya itu media menumpahkan sakit hati katak dan cebong. *Ehe
negative,"Giat Bhabinkamtibmas Brigpol Mbs Sihombing pada hari ini, Rabu 11 April 2018 melaksanakan sambang desa dan tatap muka sekaligus memantau Kamtibmas menuju Pilkada 2018 di Desa Lobusiregar I, tepatnya di rumah Rudi Panjaitan, Helman Siahaan dan Hotman Siahaan"
negative,Syg banget ya melihat perempuan kayak gini... Gak ada status apa apa tetapi sudah menempel sama laki-laki sana sini. Haduh.... nNagita Slavina Blak-blakan Sebut Ayu Ting Ting Kampungan VIVA URL
negative,Jgn lupa juga kang.... Umat katolik dan minoritas lainnya diperhatika. Gubernur untuk semua golongan bukan satu golongan.'
positive,Kan saya bukan cebong sudah dibilangi dari kemarin masih ngeyel nSitu memaksa saya jadi cebong?'
positive,"Kelemahan gerindra itu ada di orang ini,...Prabowo turun elektabilitasnya karena CONGOR fadli zon surat pemberitahuan tahunan DURNO'"
negative,"Selamat Hari Ka ini, setiap kali selalu dirayakan, lalu apa maknanya kali ini ð?¤?"
negative,"Foto memang bisu ,tpi memiliki banyak a i yang susah dia ikan,sma sepe i kamu susah dia ikan,mau putus atau lanjut ?'"
negative,wkwk aku sudah mengalaminya setibanya muncul grub wa a.n Bani Abd Hadi a.k.a mbahku dan seketika aku mek kenal beberapa orang saja 
negative,"ayah pres badar dan nuqaba paling boekkkð???, dia nih hebat dalam bidang agama, akut natural killer tegur member sndiri, dan selalu buat lawak hambar (yg paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gerakan badan dia yang chubby tu)ð???,"
negative,â??Seorang anak Pekan telah mengilhamkan Dasar Ekonomi Baru (DEB) dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar. Beliau adalah Allahyarham Tun Abdul Razakâ?? - DS #MalaysiaMemilih #HogohUndi
negative,"Hahaha sialaaan nih sih , ternyata kalau lagi laper, presiden juga mau disikat sama doið???ð??½ "
positive,"mau menasihati kali supaya tidak ugal ugalan nih rezim.. eh tapi ini negeri sudah keburu ancor..nah sekarang saja ekonomi moral marit,, kacaoooooo!!'"
negative,"alah silit kebeler,. kenapa dikasianin,., orang makin sayang saya pak,., nsetelah kasus media sosial gue baru sadar beberapa hal di satu instansi kemarin.,. ntar gue ceritain,., duuuhhh,. '"
negative,"iya, tadi cacad'"
positive,"tahun 2019 Rakyat makan ASPAL dan BETON ini adalah solusi jitu mengurangi kemiskinan KEAHLIAN CEBONG HANYA 1, TUKANG TIPU !!! cebong adalah gitu, goblok enggak ketulungan. Plonga plongo mengakibatkan optimisme berlebihan #2019GantiPresiden #"
negative,"Aku pernah sempat baca tentang Harun Yahya ini yang 'membelot' ke kubu Yahudi dengan Freemasonry nya...kdg suka tidak percaya..."""
negative,Kita Maju Bersama Ulama Kita Bergerak Bersama Semua Tokoh Agama untuk Indonesia #NderekGusMus
negative,
negative,"#MukidiKepedean Pe anyaan mudah ya.. Dijawab yang keras , tapi Saya meminta dijawab yang keras , siapa nama Saya ?"
positive,Kemarin di hujat sekarang mengharap dasar para bani kamprey'
positive,"Penjelasan saya bukan FITNAH, silakan DIBANTAH Apollinaris Darmawan Sebut Al-Quran Kitab Sampah"
positive,"Monyet saja koloe dibilang saudara sama kamu pasti ogah, hidupmu kok begini amat ya.. Toe Hati apa comberan? '"
negative,Body Lufra/ scrub dengan bahan dasar lidah buaya untuk melembabkan kulit &amp lebih bercahaya info 087812026394 #BMI'
negative,Tak punya cacat di masa lalu karena belum bermasa lalu'
negative,jangan jangan penganut bumi datar juga? nsoalnya teori bumi bulat kan dari orang asing yang notabene musuh mereka.'
positive,"Becak Warga Binjai Hendak Disita karena Gunakan Tenda Be uliskan #2019GantiPresiden, PKS MERADANG Bukti pemerintah panik dan takut? "
positive,lebih baik jokowi mundur..
negative,Munas Alim Ulama PPP di semarang. menghasilkan lima rekomendasi syarat dan kriteria-kriteria bagi Calon Wakil Presiden yang akan mendampingi Bpk Jokowi di 2019 mendatang. #Romahurmuziy
negative,Luar biasa pencerahan nya.. Saya merasa gagal sebagai anak ekonomi.. Wkwk
negative,"Kafan berasal dari budaya yahudi, kenapa umat Islam mengklaim ?'"
positive,Oleh rezim sekarang atas kendali Negara Cina Komunis yang menjadi patron tunggal rezim anti islam ( Jokowi )
negative,itu tanda nya mau pilihan kepala daerah dan pemilihan presiden
negative,Misi4 Membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya Jawa Barat yang luhur #No3JabarAsyik #Asyikm3nang
negative,Ketabahan pasangan En Taufiq dan Puan Nurliyana yang wajar dicontohi.. jom kita beri sumbangan untuk meringankan beban pasangan ini... come on twitter do your things! BSN - 0510541000096745 Bank Islam - 05058020145124 (Nurliyana bosan Abdul Raziff) 
positive,"Apaansi tai baru begitu doang belaganya sudah selangit. Ga ingat ada karma? Ntar beberapa tahun lagi kalau idol kamu flop, gue te awa paling keras.'"
negative,celeng kangen gue y'
negative,"#TerangiNegeri dengan budaya , yuk pada mengunjungi ke purwoke o ,mumpung Ada even rakyat. . #purwoke o #e avaganzabanyumas"
negative,"Presiden itu punya dana taktis, dia bisa menggunakan untuk kepentingan rakyatnya di luar program program pemerintah yang sudah ada. Soal program banyak sekali ada pembangunan infrastruktur, KIP, KIS, Se ifikat tanah, perhutanan sosial, BBM 1 harga, padat karya,"
negative,Aamiin ya Allah ((( nTimnya Kinan saja sampai pelatihan ular karena dia dapat di rawa-rawa. Aku dapatnya di sungai gede begitu dan musuhnya buaya wkwkw'
positive,MAJU KAMU NGATAIN MAMA AKU BOLOT'
positive,"Grombolan Kadal Jidat gosong,mmg bgtu, sukanya ribut tapi kalau gerombolannya yang salah pura pura Budek..Dasar Grombolan Cingkrang URL"
negative,Segitu gentarnya dia takut terhadap Kafir... '
positive,betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen kan aneh jokowi
positive,siapa bego kamu bukan teman gue najis sudah kesal sendiri gue'
positive,Kafir kristen selalu buat ulah
positive,"Tau dong, bau baunya sudah keciri ini sipit buluq'"
negative,"kayak memegang, bukan mucikari'"
negative,"Guru TK Dharma Wanita Persatuan Desa Plumbon Porong Deklarasi anti HOAX ,Ujaran kebencian, isu sarah dan mendukung pilihan kepala daerah damai"
negative,Anjir seram mainnya begituan '
negative,Kayaknya bisa? Atau cuma bank te entu? Bilang saja mau jual uang asing/tukar ke rupiah'
positive,Onta yaman ni nsetahun lagi gue depo asi loe'
negative,Hati-Hati Berita Pilkada yang Berbau Hoa madiun #madiuntoday #100thmadiun #KotaKarismatikMadiun #tolakcukaiilegal Kunjungi juga
positive,anak cocot ya ini '
positive,udah ketahuan HOAX ya Fahri makanya kalau ambil berita tuyg pembaruan jangan dari tong sampah diambil terus di SS taunya berita sudah
negative,Mantaaap DM dekat sama Banser bang 
negative,"ternyata ada lebah yang tidak suka bunga, tapi makan bangkai. gue penasaran madu nya kayak bagaimana '"
positive,Pantas indonesia mundur dalam segala bentuk
negative,Naahh yang dongok yang bilang hacker hahaha'
positive,Hahahaha blunder kamu cebong... Yg tidak memberi itu pem. pusat dengan Alasan HAM... kalau rakyat aceh ya mau kali pun.. Cobak kamu datangi pemerintah bilang suruh buat hukum islam kaffah di aceh... Klau DPR a
negative,BANGSAD GUA DAH NYELEM AMPE BAWAH2 BALIK LGI KE ATAS!1!'
negative,Saya tak bisa dipancing-pancing dengan urusan penistaan atau bukan. Saya hanya berbicara pemahaman saya tentang fiksi dan kitab suci.
positive,Cebong kacung itu kita teman gue dungunya sampai ke tulang sum2..jd jangan buang buang energi debat sama mereka.. '
positive,PA AI KORUPSI SAPI......goblog...'
positive,"Signal kontol !! Pemeliharaan apalagi ini ? Niat tidak sih ? Login twitter doang susah amat, bagaimana mau open redtube ? Cetan !! '"
negative,Matane aku tak mau aku kafir wkwkwk'
negative,Jadi ingat facebook anjir lupa aku'
negative,"kalau aku sih bakal bilang ""hilih kntl""'"
positive,"Nikita Mirzani sudah pakai hijab, yang masih berbicara cebang cebong sudah pernah fantasikan dia belom? Uh ah!! #cokoRers'"
negative,"Tatapannya dialihkan ke arah lain, enggan menatap pria mencurigakan itu. Lagipula, siapa yang pe sama kali membuat gaduh suasana? Jika Angie tidak menemukan ada seorang pria asing yang tidur di sofanya, kejadian sepe i ini tidak akan terjadi."
negative,Lahir dan berkembangnya gerakan komunis di Indonesia tidak dapat dipisahkan dari sebuah organisasi yang bernama ISDV'
negative,Shaheizy Sam wajah baharu Calpis
negative,"""Ya, terserah kamu aja."" Balasnya kembali fokus kepada pekerjaan kita. Kami mengerjakan tugas proyek Seni Budaya hanya dalam 2 hari, setelahnya langsung dikumpul dan dipresentasikan. Bersyukur nilainya memuaskan. Setelah kejadian proyek itu kami makin"
negative,Ga akan bro
